id,identifier,species_id,height,weight,base_experience,order,is_default
74,geodude,74,4,200,60.0,115.0,1
75,graveler,75,10,1050,137.0,117.0,1
76,golem,76,14,3000,223.0,119.0,1
77,ponyta,77,10,300,82.0,121.0,1
78,rapidash,78,17,950,175.0,123.0,1
79,slowpoke,79,12,360,63.0,125.0,1
80,slowbro,80,16,785,172.0,127.0,1
81,magnemite,81,3,60,65.0,132.0,1
82,magneton,82,10,600,163.0,133.0,1
83,farfetchd,83,8,150,132.0,135.0,1
84,doduo,84,14,392,62.0,137.0,1
85,dodrio,85,18,852,165.0,138.0,1
86,seel,86,11,900,65.0,139.0,1
87,dewgong,87,17,1200,166.0,140.0,1
88,grimer,88,9,300,65.0,141.0,1
89,muk,89,12,300,175.0,143.0,1
90,shellder,90,3,40,61.0,145.0,1
91,cloyster,91,15,1325,184.0,146.0,1
92,gastly,92,13,1,62.0,147.0,1
93,haunter,93,16,1,142.0,148.0,1
94,gengar,94,15,405,250.0,149.0,1
95,onix,95,88,2100,77.0,151.0,1
96,drowzee,96,10,324,66.0,154.0,1
97,hypno,97,16,756,169.0,155.0,1
98,krabby,98,4,65,65.0,156.0,1
99,kingler,99,13,600,166.0,157.0,1
100,voltorb,100,5,104,66.0,158.0,1
101,electrode,101,12,666,172.0,159.0,1
102,exeggcute,102,4,25,65.0,160.0,1
103,exeggutor,103,20,1200,186.0,161.0,1
104,cubone,104,4,65,64.0,163.0,1
105,marowak,105,10,450,149.0,164.0,1
106,hitmonlee,106,15,498,159.0,168.0,1
107,hitmonchan,107,14,502,159.0,169.0,1
108,lickitung,108,12,655,77.0,171.0,1
109,koffing,109,6,10,68.0,173.0,1
110,weezing,110,12,95,172.0,174.0,1
111,rhyhorn,111,10,1150,69.0,176.0,1
112,rhydon,112,19,1200,170.0,177.0,1
113,chansey,113,11,346,395.0,180.0,1
114,tangela,114,10,350,87.0,182.0,1
115,kangaskhan,115,22,800,172.0,184.0,1
116,horsea,116,4,80,59.0,186.0,1
117,seadra,117,12,250,154.0,187.0,1
118,goldeen,118,6,150,64.0,189.0,1
119,seaking,119,13,390,158.0,190.0,1
120,staryu,120,8,345,68.0,191.0,1
121,starmie,121,11,800,182.0,192.0,1
122,mr-mime,122,13,545,161.0,194.0,1
123,scyther,123,15,560,100.0,196.0,1
124,jynx,124,14,406,159.0,200.0,1
125,electabuzz,125,11,300,172.0,202.0,1
126,magmar,126,13,445,173.0,205.0,1
127,pinsir,127,15,550,175.0,207.0,1
128,tauros,128,14,884,172.0,209.0,1
129,magikarp,129,9,100,40.0,210.0,1
130,gyarados,130,65,2350,189.0,211.0,1
131,lapras,131,25,2200,187.0,213.0,1
132,ditto,132,3,40,101.0,214.0,1
133,eevee,133,3,65,65.0,215.0,1
134,vaporeon,134,10,290,184.0,217.0,1
135,jolteon,135,8,245,184.0,218.0,1
136,flareon,136,9,250,184.0,219.0,1
137,porygon,137,8,365,79.0,225.0,1
138,omanyte,138,4,75,71.0,228.0,1
139,omastar,139,10,350,173.0,229.0,1
140,kabuto,140,5,115,71.0,230.0,1
141,kabutops,141,13,405,173.0,231.0,1
142,aerodactyl,142,18,590,180.0,232.0,1
143,snorlax,143,21,4600,189.0,235.0,1
144,articuno,144,17,554,290.0,236.0,1
145,zapdos,145,16,526,290.0,238.0,1
146,moltres,146,20,600,290.0,240.0,1
147,dratini,147,18,33,60.0,242.0,1
148,dragonair,148,40,165,147.0,243.0,1
149,dragonite,149,22,2100,300.0,244.0,1
150,mewtwo,150,20,1220,340.0,245.0,1
151,mew,151,4,40,300.0,248.0,1
